"","nombre","code","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif"
"35","ARABIA","2578","12a13","aumento","20133.0217391304","13a14","aumento","16815.1706521739","14a15","aumento","12446.3945652174","15a16","aumento","13548.5715217391","16a17","aumento","76051.5432608696","17a18","aumento","33444.3852173913","18a19","aumento","65863.5652173913","19a20","aumento","13197.3478260869"
"36","ARRAYANES V","2625","12a13","aumento","1422.29245283019","13a14","aumento","37133.991509434","14a15","aumento","17402.0273584906","15a16","aumento","17089.7956603773","16a17","aumento","8990.67264150945","17a18","aumento","12934.1732075472","18a19","aumento","57382.5754716981","19a20","aumento","2680.56726415094"
"37","SAN FELIPE DE USME","2621","12a13","disminuyo","-11375.3452380952","13a14","aumento","27311.3788095238","14a15","aumento","18150.145","15a16","aumento","50432.7180952381","16a17","aumento","15873.2917857143","17a18","aumento","49581.3115476191","18a19","aumento","40947.4404761905","19a20","aumento","38484.8579761905"
"38","LA CONCORDIA","3104","12a13","aumento","31500","13a14","aumento","248500","14a15","aumento","145000","15a16","aumento","70000","16a17","disminuyo","-37750","17a18","aumento","93500","18a19","aumento","116750","19a20","aumento","158500"
"39","SANTA ANA","8408","12a13","aumento","460000","13a14","aumento","478671.162","14a15","aumento","98206.7379999999","15a16","aumento","736622.663","16a17","aumento","276499.437","17a18","aumento","120000","18a19","aumento","88910.7000000002","19a20","aumento","60824.5999999996"
"40","LOS TRES REYES","2446","12a13","aumento","11757.1153846154","13a14","aumento","11704.4230769231","14a15","aumento","8712.23076923077","15a16","aumento","20903.1426923077","16a17","aumento","84361.76","17a18","aumento","45098.8280769231","18a19","aumento","41168.8846153846","19a20","aumento","7838.30653846153"
"41","SAN GABRIEL NORTE","8406","12a13","aumento","48624.9047619047","13a14","aumento","103723.044285714","14a15","aumento","371075.265238095","15a16","aumento","59495.222857143","16a17","aumento","38404.6104761905","17a18","aumento","206128.857142857","18a19","disminuyo","-151974.160714286","19a20","aumento","64355.3500000001"
"42","SAN RAFAEL USME","1322","12a13","aumento","5000.81818181818","13a14","aumento","18383.6609090909","14a15","aumento","22658.0663636364","15a16","aumento","5874.45181818181","16a17","aumento","18369.8209090909","17a18","aumento","23305.7272727273","18a19","aumento","23362.3181818182","19a20","aumento","23967.8636363636"
"43","TUNA ALTA","9214","12a13","aumento","44705.8823529411","13a14","aumento","85138.4082352942","14a15","aumento","79449.8270588235","15a16","aumento","157058.823529412","16a17","aumento","159411.764705882","17a18","aumento","86764.7058823529","18a19","disminuyo","-111470.588235294","19a20","aumento","200941.176470588"
"44","LA ESPERANZA SUR","2607","12a13","aumento","1795.62","13a14","aumento","38557.439","14a15","aumento","14923.221","15a16","aumento","23651.8612","16a17","aumento","20405.6604","17a18","aumento","41593.1184","18a19","aumento","5117.15999999997","19a20","aumento","43632.9379166667"
