"","barrio_nombre","codigo_manzana","anos","cambio_relativo","diferencia","porc","val1","val2"
"210","VILLA MAYOR",2311001,"2012 a 2020 ","aumento",2010000,440.7,590000,2600000
"211","TUNAL ORIENTAL",2401006,"2012 a 2020 ","aumento",1470000,467.5,4e+05,1870000
"212","TUNAL ORIENTAL",2401030,"2012 a 2020 ","aumento",1470000,467.5,4e+05,1870000
"213","SAN VICENTE FERRER",2402048,"2012 a 2020 ","aumento",1620000,481.2,425000,2045000
"214","SAN VICENTE FERRER",2402084,"2012 a 2020 ","aumento",1850000,470,5e+05,2350000
"215","SAN VICENTE FERRER",2402088,"2012 a 2020 ","aumento",1850000,470,5e+05,2350000
"216","VENECIA OCCIDENTAL",2403036,"2012 a 2020 ","aumento",1680000,500,420000,2100000
"217","VENECIA",2404045,"2012 a 2020 ","aumento",1460000,465,4e+05,1860000
"218","FATIMA",2408008,"2012 a 2020 ","aumento",1380000,483.3,360000,1740000
"219","FATIMA",2408021,"2012 a 2020 ","aumento",1380000,483.3,360000,1740000
"220","NUEVO MUZU",2409097,"2012 a 2020 ","aumento",1530000,482.5,4e+05,1930000
"221","VERONA",2412038,"2012 a 2020 ","aumento",1420000,607.1,280000,1700000
"222","ISMAEL PERDOMO",2414025,"2012 a 2020 ","disminuyo",-30000,88,250000,220000
"223","ISMAEL PERDOMO",2414032,"2012 a 2020 ","aumento",520000,336.4,220000,740000
"224","MADELENA",2415045,"2012 a 2020 ","aumento",2050000,555.6,450000,2500000
"225","MADELENA",2415086,"2012 a 2020 ","aumento",2075000,460.9,575000,2650000
"226","LA CORUNA",2420012,"2012 a 2020 ","aumento",1700000,440,5e+05,2200000
"227","LA CORUNA",2420033,"2012 a 2020 ","aumento",1700000,440,5e+05,2200000
"228","LA CORUNA",2420044,"2012 a 2020 ","aumento",1700000,440,5e+05,2200000
"229","MORALBA",1316015,"2012 a 2020 ","aumento",278000,263.5,170000,448000
"230","MORALBA",1316062,"2012 a 2020 ","aumento",198000,179.2,250000,448000
"231","QUINDIO",1318054,"2012 a 2020 ","aumento",39000,186.7,45000,84000
"232","QUINDIO",1318077,"2012 a 2020 ","disminuyo",-14100,32.9,21000,6900
"233","LA GLORIA ORIENTAL",1319052,"2012 a 2020 ","aumento",3e+05,200,3e+05,6e+05
"234","NUEVA GLORIA",1320022,"2012 a 2020 ","aumento",440000,375,160000,6e+05
"235","NUEVA DELHI",1323061,"2012 a 2020 ","aumento",260000,273.3,150000,410000
"236","LOS LIBERTADORES",1323064,"2012 a 2020 ","aumento",18000,110,180000,198000
"237","NUEVA DELHI",1323068,"2012 a 2020 ","aumento",48607.36,148.6,1e+05,148607.36
"238","EL PINAR",1324022,"2012 a 2020 ","aumento",330000,222.2,270000,6e+05
"239","LOS LIBERTADORES",1327089,"2012 a 2020 ","aumento",510000,440,150000,660000
"240","SANTA RITA SUR ORIENTAL",1328001,"2012 a 2020 ","aumento",610000,506.7,150000,760000
"241","SANTA RITA SUR ORIENTAL",1328048,"2012 a 2020 ","aumento",440000,500,110000,550000
"242","EL PARAISO",1329010,"2012 a 2020 ","aumento",680000,326.7,3e+05,980000
"243","CANADA O GUIRA",1330098,"2012 a 2020 ","aumento",67000,228.8,52000,119000
"244","ALTOS DEL ZUQUE",1331067,"2012 a 2020 ","disminuyo",-95900,46.7,180000,84100
"245","VILLABEL",1332002,"2012 a 2020 ","aumento",55800,207.3,52000,107800
"246","LAS GAVIOTAS",1334009,"2012 a 2020 ","aumento",460000,235.3,340000,8e+05
"247","JUAN JOSE RONDON I",1336092,"2012 a 2020 ","aumento",175000,418.2,55000,230000
