;barrio_nombre;codigo_barrio;anos;cambio_relativo;diferencia
69;CASABLANCA SUBA URBANO;9136;12a20;aumento;135784
70;EL DORADO;5664;12a20;aumento;433097
71;SIERRA MORENA;2438;12a20;aumento;571701
72;VILLAS DE ALCALA;5668;12a20;aumento;1197138
73;LAS MARGARITAS;4316;12a20;aumento;998755
74;TIMIZA;4512;12a20;aumento;1631809
75;SAN JOSE DE FONTIBON;6403;12a20;aumento;1264634
76;SAN CAYETANO;9230;12a20;aumento;996313
77;BOLONIA I;2626;12a20;aumento;404501
78;CIUDAD SALITRE NOR-ORIENTAL;6216;12a20;aumento;1387521
79;AGUAS CLARAS I;1119;12a20;aumento;174220
80;EL BOSQUE SUR ORIENTAL RURAL III;202309;12a20;se mantuvo;0
81;SAN BERNARDINO XIX;205319;12a20;aumento;139098
82;PARAMO URBANO;208104;12a20;se mantuvo;0
83;LA ESPERANZA;208107;12a20;se mantuvo;0
84;TORCA II;208128;12a20;se mantuvo;0
85;CENTRO USME URBANO;2599;12a20;aumento;257761
86;NUEVA ESPERANZA;204106;12a18;se mantuvo;0
87;SAN BLAS;1106;12a20;aumento;642529
88;LAS MERCEDES;1107;12a20;aumento;607705
89;SAN CRISTOBAL SUR;1108;12a20;aumento;434095
90;LA MARIA;1109;12a20;aumento;831044
91;LA BELLEZA;1338;12a20;aumento;254200
92;JUAN REY SUR;1347;12a20;aumento;235823
93;YOMASA;1350;12a20;aumento;244571
94;LAS GUACAMAYAS III;1354;12a20;aumento;789597
95;LAS GUACAMAYAS I;1355;12a20;aumento;755569
96;VILLA DEL CERRO;1356;12a20;aumento;213190
97;SAN JOSE SUR;1401;12a20;aumento;1243621
98;GUSTAVO RESTREPO;1402;12a20;aumento;1186406
99;VILLA DE LOS ALPES;1408;12a20;aumento;1341258
100;LAS LOMAS;1409;12a20;aumento;824140
101;MARCO FIDEL SUAREZ;1410;12a20;aumento;1133875
102;SAN JORGE SUR;1411;12a20;aumento;1130738
103;GRANJAS SAN PABLO;1412;12a20;aumento;852089
104;GALICIA;2427;12a20;aumento;1302353
105;PRIMAVERA II;2428;12a20;aumento;595833
106;LAS BRISAS;2430;12a20;aumento;790039
107;LA GLORIA OCCIDENTAL;1311;12a20;aumento;529123
108;LOS ALPES;1312;12a20;aumento;455291
109;SAN JOSE SUR ORIENTAL;1314;12a20;aumento;478584
110;ALTAMIRA;1315;12a20;aumento;290292
111;SABANA DE TIBABUYES;9232;12a20;aumento;1519629
112;SABANA DE TIBABUYES NORTE;9234;12a20;aumento;1394759
113;TIBABUYES;9233;12a20;aumento;1683459
114;LA CAROLINA DE SUBA;9236;12a20;aumento;1043827
115;TUNA BAJA;9242;12a20;aumento;1103904
116;SAN PEDRO;9253;12a20;aumento;1109817
117;LISBOA;9254;12a20;aumento;1001186
118;SANTA RITA DE SUBA;9255;12a20;aumento;1246485
119;TIBABUYES;9257;12a20;aumento;1317941
120;BERLIN;9259;12a20;aumento;1177000
121;VILLA ALCAZAR;9263;12a20;aumento;950925
122;SAN PEDRO SUR;1337;12a20;aumento;98681
123;SANTA CECILIA PUENTE NORTE;8543;12a20;aumento;554611
124;BOSQUE DE PINOS;8520;12a20;aumento;659913
125;LA ESTRELLITA I;8540;12a20;aumento;563610
126;TIBABITA;8521;12a20;aumento;950405
127;CALVO SUR;1210;12a20;aumento;1160316
128;PARCELA EL PORVENIR;4630;12a20;aumento;934672
129;JULIO FLOREZ;5403;12a20;aumento;1531358
130;ALTOS DEL ZUQUE;1331;12a20;aumento;152238
131;CIUDADELA COLSUBSIDIO;5650;12a20;aumento;1318879
132;ARBOLEDA SUR;1423;12a20;aumento;797449
133;NUEVO TECHO;6507;12a20;aumento;1463389
