OID_;OBJECTID;cod_ct;riesgo;localidad;barmanpre;chip;fecha_ct;año;shape_Leng;Shape_Le_1;Shape_Area
1437;13267;CT-6130;ANM;RAFAEL URIBE URIBE;0025113409;AAA0022HNWF;22/03/2011;2011;41,583475330100001;41,583475330100001;87,694406540200006
1438;13268;CT-6130;ANM;RAFAEL URIBE URIBE;0025113408;S/I;22/03/2011;2011;35,412483830100001;35,412483830100001;65,575059478200004
1439;13273;CT-6130;ANM;RAFAEL URIBE URIBE;0025113405;AAA0022HNRU;22/03/2011;2011;51,003100859299998;51,003100859299998;112,641136860000003
1440;13276;CT-6130;ANM;RAFAEL URIBE URIBE;0025113406;AAA0022HNSK;22/03/2011;2011;41,888912702799999;41,888912702799999;84,995675409000000
1441;13287;CT-6130;ANM;RAFAEL URIBE URIBE;0025113407;AAA0022HNTO;22/03/2011;2011;47,103894973499997;47,103894973499997;100,993331905999995
1442;14494;CT-6967;ANM;CIUDAD BOLIVAR;0025823512;AAA0209WXFT;30/07/2013;2013;35,999790009800002;35,999790009800002;71,998440322400000
1443;14495;CT-6967;ANM;CIUDAD BOLIVAR;0025823612;AAA0209WXYX;30/07/2013;2013;35,509431295100001;35,509431295100001;66,672414195700000
1444;14498;CT-6967;ANM;CIUDAD BOLIVAR;0025823511;AAA0209WXEA;30/07/2013;2013;35,999567556499997;35,999567556499997;71,993047488800002
1445;14499;CT-6967;ANM;CIUDAD BOLIVAR;0025823611;AAA0209WXXR;30/07/2013;2013;35,500094591400000;35,500094591400000;70,497257101299994
1446;14501;CT-6967;ANM;CIUDAD BOLIVAR;0025823709;AAA0209WYOM;30/07/2013;2013;42,885774387799998;42,885774387799998;99,701152175299995
1447;14502;CT-6967;ANM;CIUDAD BOLIVAR;0025823615;AAA0209WYBS;30/07/2013;2013;35,390436416900002;35,390436416900002;68,634591174899995
1448;14503;CT-6967;ANM;CIUDAD BOLIVAR;0025823708;AAA0209WYNX;30/07/2013;2013;35,278242863800003;35,278242863800003;75,717779157899997
1449;14504;CT-6967;ANM;CIUDAD BOLIVAR;0025823610;AAA0209WXWF;30/07/2013;2013;35,500001655399998;35,500001655399998;70,496951659299995
1450;14506;CT-6967;ANM;CIUDAD BOLIVAR;0025821508;AAA0209WRRU;30/07/2013;2013;37,001456534799999;37,001456534799999;74,894479606999994
1451;14527;CT-6967;ANM;CIUDAD BOLIVAR;0025823609;AAA0209WXUZ;30/07/2013;2013;35,500108998000002;35,500108998000002;70,497326299500003
1452;14529;CT-6967;ANM;CIUDAD BOLIVAR;0025823508;AAA0209WXDM;30/07/2013;2013;35,999778451399997;35,999778451399997;71,998142714300002
1453;14530;CT-6967;ANM;CIUDAD BOLIVAR;0025823707;AAA0209WYMR;30/07/2013;2013;43,909698353700001;43,909698353700001;95,391894008999998
1454;14531;CT-6967;ANM;CIUDAD BOLIVAR;0025823608;AAA0209WXTO;30/07/2013;2013;35,299924940399997;35,299924940399997;69,154711661700006
1455;14533;CT-6967;ANM;CIUDAD BOLIVAR;0025823510;S/I;30/07/2013;2013;36,100270336500003;36,100270336500003;72,600396740099995
1456;14534;CT-6967;ANM;CIUDAD BOLIVAR;0025823617;S/I;30/07/2013;2013;35,550052704000002;35,550052704000002;70,711160883000005
1457;14536;CT-6967;ANM;CIUDAD BOLIVAR;0025823507;AAA0209WXCX;30/07/2013;2013;35,999826153000001;35,999826153000001;71,998513806500000
1458;14537;CT-6967;ANM;CIUDAD BOLIVAR;0025823618;AAA0156OYRU;30/07/2013;2013;35,499727597800003;35,499727597800003;70,409479463500006
1459;14538;CT-6967;ANM;CIUDAD BOLIVAR;0025823706;AAA0209WYLF;30/07/2013;2013;41,028299254799997;41,028299254799997;82,411423494000005
1460;14540;CT-6967;ANM;CIUDAD BOLIVAR;0025823619;AAA0156NAJZ;30/07/2013;2013;35,660009063700002;35,660009063700002;71,413996805799997
1461;14554;CT-7014;ANM;RAFAEL URIBE URIBE;0025975302;AAA0172EFYN;13/09/2013;2013;91,290442068999994;91,290442068999994;360,757911028000024
1462;14555;CT-7014;ANM;RAFAEL URIBE URIBE;0025975308;AAA0172EHEP;13/09/2013;2013;82,435089729300003;82,435089729300003;296,842563530000007
1463;14556;CT-7014;ANM;RAFAEL URIBE URIBE;0025975317;S/I;13/09/2013;2013;78,416883077400001;78,416883077400001;206,760078531000005
1464;14557;CT-7014;ANM;RAFAEL URIBE URIBE;0025975318;S/I;13/09/2013;2013;79,969821917100006;79,969821917100006;217,517895619999990
1465;14558;CT-7014;ANM;RAFAEL URIBE URIBE;0025975313;AAA0172EHKC;13/09/2013;2013;107,594892004000002;107,594892004000002;464,478201359000025
1466;14561;CT-7014;ANM;RAFAEL URIBE URIBE;0025972507;AAA0172EFDE;13/09/2013;2013;58,644400090300003;58,644400090300003;135,828956968000000
1467;14568;CT-7014;ANM;RAFAEL URIBE URIBE;0025972506;AAA0172EFCN;13/09/2013;2013;41,930524871000003;41,930524871000003;87,432163440699995
1468;14576;CT-6967;ANM;CIUDAD BOLIVAR;0025823515;AAA0209WXKL;30/07/2013;2013;35,999967386800002;35,999967386800002;72,000136004599995
1469;14577;CT-6967;ANM;CIUDAD BOLIVAR;0025823514;AAA0209WXJH;30/07/2013;2013;36,000190797599998;36,000190797599998;71,998848004500005
1470;14579;CT-6967;ANM;CIUDAD BOLIVAR;0025823516;AAA0209WXLW;30/07/2013;2013;35,930395363099997;35,930395363099997;71,577872658999993
1471;14580;CT-6967;ANM;CIUDAD BOLIVAR;0025823513;AAA0209WXHY;30/07/2013;2013;36,000618497600001;36,000618497600001;72,003499623600007
1472;14585;CT-6967;ANM;CIUDAD BOLIVAR;0025823509;AAA0156NAKC;30/07/2013;2013;36,000602832799999;36,000602832799999;72,001133441099995
1473;14586;CT-6967;ANM;CIUDAD BOLIVAR;0025823616;AAA0209WYCN;30/07/2013;2013;35,636690565400002;35,636690565400002;70,789824525399993
1474;14587;CT-6967;ANM;CIUDAD BOLIVAR;0025823524;AAA0209WXMS;30/07/2013;2013;36,500313673999997;36,500313673999997;74,976006260700004
1475;14588;CT-6967;ANM;CIUDAD BOLIVAR;0025823505;AAA0209WXBR;30/07/2013;2013;36,200348526799999;36,200348526799999;73,052370501100000
1476;14589;CT-6967;ANM;CIUDAD BOLIVAR;0025823620;AAA0209WYDE;30/07/2013;2013;35,550124217899999;35,550124217899999;71,436478705300004
1477;14590;CT-6967;ANM;CIUDAD BOLIVAR;0025823605;AAA0209WXSK;30/07/2013;2013;35,430223995900000;35,430223995900000;69,920797244699997
1478;14592;CT-6967;ANM;CIUDAD BOLIVAR;0025823504;AAA0209WXAF;30/07/2013;2013;35,899929409300000;35,899929409300000;71,399089867599997
1479;14593;CT-6967;ANM;CIUDAD BOLIVAR;0025823621;AAA0209WYEP;30/07/2013;2013;34,983550087499999;34,983550087499999;68,670774675900006
1480;14594;CT-6967;ANM;CIUDAD BOLIVAR;0025823703;AAA0209WYKC;30/07/2013;2013;36,410396739299998;36,410396739299998;72,950740217200007
1481;14595;CT-6967;ANM;CIUDAD BOLIVAR;0025823604;AAA0209WXRU;30/07/2013;2013;35,492703164300003;35,492703164300003;70,412906600699998
1482;14597;CT-6967;ANM;CIUDAD BOLIVAR;0025823526;AAA0209WXNN;30/07/2013;2013;36,800210386800003;36,800210386800003;76,755636048300005
1483;14598;CT-6967;ANM;CIUDAD BOLIVAR;0025823503;AAA0209WWZE;30/07/2013;2013;35,750514952600000;35,750514952600000;71,245105513699997
1484;14599;CT-6967;ANM;CIUDAD BOLIVAR;0025823622;AAA0209WYFZ;30/07/2013;2013;35,334414385499997;35,334414385499997;69,997259186500003
1485;14600;CT-6967;ANM;CIUDAD BOLIVAR;0025823702;AAA0209WYJZ;30/07/2013;2013;36,308801905000003;36,308801905000003;77,743695158999998
1486;14602;CT-6967;ANM;CIUDAD BOLIVAR;0025823501;AAA0209WWXS;30/07/2013;2013;35,849541481099997;35,849541481099997;71,661855781499995
1487;14603;CT-6967;ANM;CIUDAD BOLIVAR;0025823502;AAA0209WWYN;30/07/2013;2013;35,300016029500000;35,300016029500000;69,892435600400006
1488;14604;CT-6967;ANM;CIUDAD BOLIVAR;0025823601;AAA0209WXOE;30/07/2013;2013;35,550308739400002;35,550308739400002;70,650068110199996
1489;14605;CT-6967;ANM;CIUDAD BOLIVAR;0025823602;AAA0209WXPP;30/07/2013;2013;35,999338734100000;35,999338734100000;71,924502345099995
1490;14606;CT-6967;ANM;CIUDAD BOLIVAR;0025823506;S/I;30/07/2013;2013;35,400042809900000;35,400042809900000;68,377801467799998
1491;14607;CT-6967;ANM;CIUDAD BOLIVAR;0025823606;S/I;30/07/2013;2013;35,680015972900001;35,680015972900001;71,234260089399996
1492;14608;CT-6967;ANM;CIUDAD BOLIVAR;0025823704;S/I;30/07/2013;2013;37,289721365100000;37,289721365100000;72,035963769399999
1493;14610;CT-6967;ANM;CIUDAD BOLIVAR;0025823525;S/I;30/07/2013;2013;35,999864919099998;35,999864919099998;71,898750185699996
1494;14612;CT-6967;ANM;CIUDAD BOLIVAR;0025823603;S/I;30/07/2013;2013;35,761982104700003;35,761982104700003;71,248013444999998
1495;14614;CT-6967;ANM;CIUDAD BOLIVAR;0025823219;AAA0209WWDE;30/07/2013;2013;34,800013917699999;34,800013917699999;68,923183463200004
1496;14615;CT-6967;ANM;CIUDAD BOLIVAR;0025823218;AAA0209WWCN;30/07/2013;2013;34,449761889999998;34,449761889999998;66,926243663700006
1497;14621;CT-6967;ANM;CIUDAD BOLIVAR;0025823222;AAA0209WWEP;30/07/2013;2013;36,016564143600000;36,016564143600000;72,254139553100003
1498;14622;CT-6967;ANM;CIUDAD BOLIVAR;0025823211;AAA0209WWBS;30/07/2013;2013;36,012738728599999;36,012738728599999;71,997897747600007
1499;14625;CT-6967;ANM;CIUDAD BOLIVAR;0025823207;AAA0209WUZE;30/07/2013;2013;35,799166746399997;35,799166746399997;70,776120192299999
1500;14628;CT-6967;ANM;CIUDAD BOLIVAR;0025823206;AAA0156NACN;30/07/2013;2013;35,999539483699998;35,999539483699998;71,994093413900003
1501;14630;CT-6967;ANM;CIUDAD BOLIVAR;0025823205;AAA0209WUYN;30/07/2013;2013;35,998769194499999;35,998769194499999;71,995702448599999
1502;14633;CT-6967;ANM;CIUDAD BOLIVAR;0025823221;S/I;30/07/2013;2013;34,528148164000001;34,528148164000001;66,708419907099994
1503;14634;CT-6967;ANM;CIUDAD BOLIVAR;0025823220;S/I;30/07/2013;2013;34,799522167399999;34,799522167399999;68,804664698099998
1504;14635;CT-6967;ANM;CIUDAD BOLIVAR;0025823217;S/I;30/07/2013;2013;34,496355893199997;34,496355893199997;67,177974757800001
1505;14636;CT-6967;ANM;CIUDAD BOLIVAR;0025823216;S/I;30/07/2013;2013;32,304366362800003;32,304366362800003;54,720743648000003
1506;14637;CT-6967;ANM;CIUDAD BOLIVAR;0025823215;S/I;30/07/2013;2013;35,006528050999997;35,006528050999997;69,908760571900004
1507;14640;CT-6967;ANM;CIUDAD BOLIVAR;0025823212;S/I;30/07/2013;2013;35,999928087999997;35,999928087999997;71,957298679399997
1508;14644;CT-6967;ANM;CIUDAD BOLIVAR;0025823204;AAA0209WUXS;30/07/2013;2013;35,999883824199998;35,999883824199998;71,985377047200004
1509;14677;CT-6967;ANM;CIUDAD BOLIVAR;0025822220;S/I;30/07/2013;2013;36,004513600099997;36,004513600099997;71,997419919999999
1510;14684;CT-6967;ANM;CIUDAD BOLIVAR;0025821517;S/I;30/07/2013;2013;38,194415473100001;38,194415473100001;81,050661803200001
1511;14688;CT-6967;ANM;CIUDAD BOLIVAR;0025821516;S/I;30/07/2013;2013;38,195663794700003;38,195663794700003;81,036939787500003
1512;14692;CT-6967;ANM;CIUDAD BOLIVAR;0025821515;S/I;30/07/2013;2013;37,968005181300001;37,968005181300001;80,330626827299994
1513;14705;CT-6967;ANM;CIUDAD BOLIVAR;0025821511;S/I;30/07/2013;2013;37,000034582399998;37,000034582399998;74,996899989699997
1514;14731;CT-6967;ANM;CIUDAD BOLIVAR;0025821507;S/I;30/07/2013;2013;36,999816821200000;36,999816821200000;74,967299640500002
1515;14754;CT-6967;ANM;CIUDAD BOLIVAR;0025821503;AAA0156MXWW;30/07/2013;2013;36,114107461300001;36,114107461300001;71,906601104000003
1516;14771;CT-6967;ANM;CIUDAD BOLIVAR;0025821502;S/I;30/07/2013;2013;35,555379084800002;35,555379084800002;69,475364996300002
1517;14849;CT-7014;ANM;RAFAEL URIBE URIBE;0025975316;AAA0172EHAW;13/09/2013;2013;63,556914786900002;63,556914786900002;141,260202939999999
1518;14888;CT-6967;ANM;CIUDAD BOLIVAR;0025823406;AAA0209WWMR;30/07/2013;2013;30,000007145300000;30,000007145300000;36,000127493299999
1519;14893;CT-6967;ANM;CIUDAD BOLIVAR;0025823209;AAA0209WWAW;30/07/2013;2013;29,104439108400001;29,104439108400001;37,178858022199996
1520;14894;CT-6967;ANM;CIUDAD BOLIVAR;0025823209;AAA0209WWAW;30/07/2013;2013;35,999130568600002;35,999130568600002;72,287362959700005
1521;14896;CT-6967;ANM;CIUDAD BOLIVAR;0025823208;S/I;30/07/2013;2013;35,998695552699999;35,998695552699999;71,981039138699998
1522;14897;CT-6967;ANM;CIUDAD BOLIVAR;0025823208;S/I;30/07/2013;2013;35,999963306900000;35,999963306900000;71,984736619600000
1523;15000;CT-7014;ANM;RAFAEL URIBE URIBE;0025975314;S/I;13/09/2013;2013;99,407559435099998;99,407559435099998;363,531931627999995
1524;15001;CT-7014;ANM;RAFAEL URIBE URIBE;0025975314;S/I;13/09/2013;2013;88,095831850699994;88,095831850699994;209,317994094999989
1525;15002;CT-7014;ANM;RAFAEL URIBE URIBE;0025975314;S/I;13/09/2013;2013;85,919434677799998;85,919434677799998;245,844149891000001
1526;15003;CT-7014;ANM;RAFAEL URIBE URIBE;0025975316;AAA0172EHAW;13/09/2013;2013;71,018734879500002;71,018734879500002;195,760850153999996
1527;15004;CT-7014;ANM;RAFAEL URIBE URIBE;0025975316;AAA0172EHAW;13/09/2013;2013;56,349300537399998;56,349300537399998;107,822764587999998
1528;15006;CT-7901;ANM;SAN CRISTOBAL;2013051708;AAA0156WSNN;15/12/2014;2014;29,400377995200000;29,400377995200000;48,379642905200001
1529;15008;CT-7901;ANM;SAN CRISTOBAL;2013051707;AAA0156WSOE;15/12/2014;2014;29,369853415800002;29,369853415800002;48,303810201899999
1530;15010;CT-7901;ANM;SAN CRISTOBAL;2013051732;AAA0156WSWF;15/12/2014;2014;29,431612077800001;29,431612077800001;48,468674473999997
1531;15011;CT-7901;ANM;SAN CRISTOBAL;2013051706;AAA0156WSMS;15/12/2014;2014;29,338696330299999;29,338696330299999;48,225083147100001
1532;15012;CT-7901;ANM;SAN CRISTOBAL;2013051733;AAA0176LPRU;15/12/2014;2014;29,400636337400002;29,400636337400002;48,391168745500003
1533;15015;CT-7901;ANM;SAN CRISTOBAL;2013051211;S/I;15/12/2014;2014;40,376886249400002;40,376886249400002;90,631268861699994
1534;15017;CT-7901;ANM;SAN CRISTOBAL;2013051208;S/I;15/12/2014;2014;35,997649050800000;35,997649050800000;71,930829918900002
1535;15050;CT-7905;ANM;CIUDAD BOLIVAR;0025461275;AAA0171WPWF;23/12/2014;2014;38,353201101000003;38,353201101000003;85,462017604699994
1536;15051;CT-7905;ANM;CIUDAD BOLIVAR;0025461244;AAA0026TCMR;23/12/2014;2014;36,952187170899997;36,952187170899997;82,732777830100005
1537;15052;CT-7905;ANM;CIUDAD BOLIVAR;0025461243;AAA0171WPSK;23/12/2014;2014;33,875147393900001;33,875147393900001;65,772401709199997
1538;15053;CT-7905;ANM;CIUDAD BOLIVAR;0025461242;AAA0026TCLF;23/12/2014;2014;33,855797826299998;33,855797826299998;65,259735048699994
1539;15054;CT-7905;ANM;CIUDAD BOLIVAR;0025461241;AAA0026TCKC;23/12/2014;2014;35,546356517699998;35,546356517699998;71,113585798700001
1540;15055;CT-7905;ANM;CIUDAD BOLIVAR;0025460419;S/I;23/12/2014;2014;36,280135540600000;36,280135540600000;72,840156940699998
1541;15056;CT-7905;ANM;CIUDAD BOLIVAR;0025460418;AAA0026TCYN;23/12/2014;2014;35,997899974299997;35,997899974299997;71,987095423499994
1542;15057;CT-7905;ANM;CIUDAD BOLIVAR;0025460420;AAA0026TCZE;23/12/2014;2014;59,588785054500001;59,588785054500001;130,215934382999990
1543;15058;CT-7905;ANM;CIUDAD BOLIVAR;0025461240;AAA0026TCJZ;23/12/2014;2014;41,939944308000001;41,939944308000001;102,308415238999999
1544;15059;CT-7905;ANM;CIUDAD BOLIVAR;0025461234;AAA0026TCHK;23/12/2014;2014;27,531981648700000;27,531981648700000;45,548659515099999
1545;15065;CT-7905;ANM;CIUDAD BOLIVAR;0025461234;AAA0026TCHK;23/12/2014;2014;35,999994907100003;35,999994907100003;71,999451945800004
1546;15067;CT-7901;ANM;SAN CRISTOBAL;0011040111;AAA0000LYKC;15/12/2014;2014;40,456194927299997;40,456194927299997;84,967212563999993
1547;15068;CT-7901;ANM;SAN CRISTOBAL;0011040112;AAA0000LYLF;15/12/2014;2014;39,054724929199999;39,054724929199999;80,933137472400006
1548;15069;CT-7901;ANM;SAN CRISTOBAL;2013051111;S/I;15/12/2014;2014;36,118096098700001;36,118096098700001;72,685504195099995
1549;15071;CT-7901;ANM;SAN CRISTOBAL;2013051008;AAA0156WNPA;15/12/2014;2014;35,623589750199997;35,623589750199997;70,768629435199998
1550;15072;CT-7901;ANM;SAN CRISTOBAL;2013051109;AAA0176LOYN;15/12/2014;2014;36,001309197600001;36,001309197600001;71,981876700100003
1551;15074;CT-7901;ANM;SAN CRISTOBAL;2013051112;S/I;15/12/2014;2014;36,115939334499998;36,115939334499998;72,689166248000006
1552;15075;CT-7901;ANM;SAN CRISTOBAL;2013051210;AAA0176LOZE;15/12/2014;2014;36,572761482799997;36,572761482799997;75,432400988599994
1553;15078;CT-7901;ANM;SAN CRISTOBAL;2013051212;AAA0176LPAF;15/12/2014;2014;41,483428826999997;41,483428826999997;93,723056685700001
1554;15080;CT-7901;ANM;SAN CRISTOBAL;2013051113;S/I;15/12/2014;2014;36,575600681799997;36,575600681799997;73,717187138599996
1555;15085;CT-7901;ANM;SAN CRISTOBAL;2013051213;AAA0176LPBR;15/12/2014;2014;37,930289298399998;37,930289298399998;77,762689247699996
1556;15086;CT-7901;ANM;SAN CRISTOBAL;2013051207;AAA0156WONN;15/12/2014;2014;35,997848725799997;35,997848725799997;71,930851324800003
1557;15089;CT-7901;ANM;SAN CRISTOBAL;2013051214;AAA0156WOPP;15/12/2014;2014;37,382448440099999;37,382448440099999;76,118938027599995
1558;15090;CT-7901;ANM;SAN CRISTOBAL;2013051216;AAA0156WOSK;15/12/2014;2014;36,189022123199997;36,189022123199997;72,530622778099996
1559;15094;CT-7901;ANM;SAN CRISTOBAL;2013051304;AAA0156WOYX;15/12/2014;2014;52,408626940700003;52,408626940700003;117,862281702999994
1560;15096;CT-7901;ANM;SAN CRISTOBAL;2013051312;AAA0156WPCN;15/12/2014;2014;36,059699826100001;36,059699826100001;72,178908929200006
1561;15100;CT-7901;ANM;SAN CRISTOBAL;2013051303;AAA0156WOXR;15/12/2014;2014;64,123125479699993;64,123125479699993;151,023848377999997
1562;15102;CT-7901;ANM;SAN CRISTOBAL;2013051302;S/I;15/12/2014;2014;60,079738827500002;60,079738827500002;140,875746542999991
1563;15104;CT-7901;ANM;SAN CRISTOBAL;2013051314;AAA0176LPDM;15/12/2014;2014;58,656638782199998;58,656638782199998;118,183208031000007
1564;15105;CT-7901;ANM;SAN CRISTOBAL;2013051618;AAA0156WRWW;15/12/2014;2014;29,647127507099999;29,647127507099999;49,114582355600000
1565;15110;CT-7901;ANM;SAN CRISTOBAL;2013051301;AAA0156WOWF;15/12/2014;2014;37,792292630699997;37,792292630699997;73,114957373999999
1566;15122;CT-7901;ANM;SAN CRISTOBAL;2013053405;AAA0156WXLF;15/12/2014;2014;35,836781163600001;35,836781163600001;71,477108792699994
1567;15123;CT-7901;ANM;SAN CRISTOBAL;2013051409;AAA0156WPKC;15/12/2014;2014;30,000104871100000;30,000104871100000;50,000521311599996
1568;15138;CT-7901;ANM;SAN CRISTOBAL;2013051313;S/I;15/12/2014;2014;36,099654471999997;36,099654471999997;72,298611808700002
1569;15139;CT-7901;ANM;SAN CRISTOBAL;2013051408;S/I;15/12/2014;2014;29,999822859300000;29,999822859300000;49,999111252900001
1570;15151;CT-7901;ANM;SAN CRISTOBAL;2013051514;AAA0156WRCN;15/12/2014;2014;29,855283231600001;29,855283231600001;49,637026497299999
1571;15154;CT-7901;ANM;SAN CRISTOBAL;2013051515;AAA0156WRDE;15/12/2014;2014;29,755937103099999;29,755937103099999;49,388826228399999
1572;15168;CT-7901;ANM;SAN CRISTOBAL;2013051616;AAA0156WRUH;15/12/2014;2014;29,677504055899998;29,677504055899998;49,190357705200000
1573;15169;CT-7901;ANM;SAN CRISTOBAL;2013051623;AAA0156WRZE;15/12/2014;2014;29,686162731800000;29,686162731800000;49,213233759300003
1574;15172;CT-7901;ANM;SAN CRISTOBAL;2013051615;AAA0156WRTD;15/12/2014;2014;29,692557818000001;29,692557818000001;49,228016475799997
1575;15176;CT-7901;ANM;SAN CRISTOBAL;2013051624;AAA0156WSAF;15/12/2014;2014;29,717064967799999;29,717064967799999;49,290305814100002
1576;15177;CT-7901;ANM;SAN CRISTOBAL;2013051521;AAA0176LPFT;15/12/2014;2014;29,166768181900000;29,166768181900000;47,930245692100002
1577;15178;CT-7901;ANM;SAN CRISTOBAL;2013051516;S/I;15/12/2014;2014;29,656848522200001;29,656848522200001;49,141638022300000
1578;15186;CT-7901;ANM;SAN CRISTOBAL;2013051522;AAA0156WRJZ;15/12/2014;2014;29,031276939300000;29,031276939300000;47,576393484199997
1579;15189;CT-7901;ANM;SAN CRISTOBAL;2013051626;AAA0156WSBR;15/12/2014;2014;29,778910492400001;29,778910492400001;49,445287667999999
1580;15190;CT-7901;ANM;SAN CRISTOBAL;2013051502;AAA0156WPRJ;15/12/2014;2014;28,428121418500002;28,428121418500002;43,166551825600003
1581;15192;CT-7901;ANM;SAN CRISTOBAL;2013051612;AAA0156WRSY;15/12/2014;2014;29,738098620500001;29,738098620500001;49,342040811099999
1582;15195;CT-7901;ANM;SAN CRISTOBAL;2013051718;AAA0176LPPP;15/12/2014;2014;29,710198304599999;29,710198304599999;49,156680384600001
1583;15197;CT-7901;ANM;SAN CRISTOBAL;2013051717;AAA0156WSTO;15/12/2014;2014;29,679039616200001;29,679039616200001;49,078269358299998
1584;15198;CT-7901;ANM;SAN CRISTOBAL;2013051611;AAA0156WRRJ;15/12/2014;2014;29,753434918600000;29,753434918600000;49,380404876599997
1585;15209;CT-7901;ANM;SAN CRISTOBAL;2013051715;AAA0176LPOE;15/12/2014;2014;29,617398503899999;29,617398503899999;48,924057736800002
1586;15213;CT-7901;ANM;SAN CRISTOBAL;2013051631;AAA0176LPKL;15/12/2014;2014;29,933067901600001;29,933067901600001;49,830508522199999
1587;15216;CT-7901;ANM;SAN CRISTOBAL;2013051632;AAA0176LPLW;15/12/2014;2014;29,963717893199998;29,963717893199998;49,906788149900002
1588;15219;CT-7901;ANM;SAN CRISTOBAL;2013051633;AAA0156WSDM;15/12/2014;2014;29,994900794100001;29,994900794100001;49,985243388999997
1589;15222;CT-7901;ANM;SAN CRISTOBAL;2013051630;S/I;15/12/2014;2014;29,902427304300002;29,902427304300002;49,754069137199998
1590;15227;CT-7901;ANM;SAN CRISTOBAL;2013051712;AAA0176LPNN;15/12/2014;2014;29,524440093300001;29,524440093300001;48,690589350800003
1591;15236;CT-7901;ANM;SAN CRISTOBAL;2013051709;AAA0176LPMS;15/12/2014;2014;29,431651667000001;29,431651667000001;48,458732484300000
1592;15243;CT-7901;ANM;SAN CRISTOBAL;2013051734;AAA0156WSXR;15/12/2014;2014;29,369529596800000;29,369529596800000;48,313080555699997
1593;15258;CT-7901;ANM;SAN CRISTOBAL;2013051729;S/I;15/12/2014;2014;29,524282926400002;29,524282926400002;48,701138197699997
1594;15262;CT-7901;ANM;SAN CRISTOBAL;2013051730;S/I;15/12/2014;2014;29,493173995999999;29,493173995999999;48,622580478200000
1595;15275;CT-7901;ANM;SAN CRISTOBAL;2013051737;AAA0176LPSK;15/12/2014;2014;29,276729047800000;29,276729047800000;48,080854109299999
1596;15293;CT-7901;ANM;SAN CRISTOBAL;2013051738;S/I;15/12/2014;2014;29,245325591499999;29,245325591499999;48,001198495300002
1597;15297;CT-7901;ANM;SAN CRISTOBAL;2013053002;AAA0156WSZM;15/12/2014;2014;30,009432322300000;30,009432322300000;49,282530652699997
1598;15302;CT-7901;ANM;SAN CRISTOBAL;2013053006;AAA0156WTDE;15/12/2014;2014;29,740234520800001;29,740234520800001;47,861043305000003
1599;15303;CT-7901;ANM;SAN CRISTOBAL;2013053004;AAA0156WTBS;15/12/2014;2014;30,029869005900000;30,029869005900000;49,333426115800002
1600;15304;CT-7901;ANM;SAN CRISTOBAL;2013053003;AAA0156WTAW;15/12/2014;2014;30,020486460400001;30,020486460400001;49,309395240599997
1601;15305;CT-7901;ANM;SAN CRISTOBAL;2013052608;S/I;15/12/2014;2014;29,998795662199999;29,998795662199999;49,980938990799999
1602;15306;CT-7897;A;SAN CRISTOBAL;0013255232;AAA0145WAWF;18/12/2014;2014;48,083079026400000;48,083079026400000;108,374510139999998
1603;15437;CT-7728;ANM;CIUDAD BOLIVAR;0024387207;AAA0165TAKC;8/10/2014;2014;37,648814297500003;37,648814297500003;82,869979207399993
1604;15453;CT-7728;ANM;CIUDAD BOLIVAR;0024387306;AAA0020FXSK;8/10/2014;2014;34,082547775800002;34,082547775800002;60,352048447599998
1605;15456;CT-7728;ANM;CIUDAD BOLIVAR;0024387302;AAA0020FXNN;8/10/2014;2014;32,506632972600002;32,506632972600002;61,571033169400003
1606;15460;CT-7728;ANM;CIUDAD BOLIVAR;0024387305;AAA0020FXRU;8/10/2014;2014;34,162326491199998;34,162326491199998;60,813960104000003
1607;15463;CT-7728;ANM;CIUDAD BOLIVAR;0024387304;AAA0020FXPP;8/10/2014;2014;33,969686915899999;33,969686915899999;59,631092270600000
1608;15472;CT-7728;ANM;CIUDAD BOLIVAR;0024387318;AAA0194ZYEP;8/10/2014;2014;34,227050632800001;34,227050632800001;61,051670342900003
1609;15473;CT-7728;ANM;CIUDAD BOLIVAR;0024387303;AAA0020FXOE;8/10/2014;2014;34,046139194900000;34,046139194900000;63,001916993000002
1610;15483;CT-7728;ANM;CIUDAD BOLIVAR;0024387317;AAA0165TAOM;8/10/2014;2014;26,994499825399998;26,994499825399998;45,311667880800002
1611;15484;CT-7728;ANM;CIUDAD BOLIVAR;0024387317;AAA0165TAOM;8/10/2014;2014;31,230001273300001;31,230001273300001;50,023280964700000
1612;15485;CT-7728;ANM;CIUDAD BOLIVAR;0024387317;AAA0165TAOM;8/10/2014;2014;27,027900144699998;27,027900144699998;43,969105476400003
1613;15523;CT-7728;ANM;CIUDAD BOLIVAR;0024387402;AAA0020FYFZ;8/10/2014;2014;33,901992549100001;33,901992549100001;60,334460795500000
1614;15537;CT-7728;ANM;CIUDAD BOLIVAR;0024387401;AAA0020FYEP;8/10/2014;2014;23,380685769500001;23,380685769500001;32,715497193700003
1615;15538;CT-7728;ANM;CIUDAD BOLIVAR;0024387401;AAA0020FYEP;8/10/2014;2014;22,444658098900000;22,444658098900000;30,980373221699999
1616;15539;CT-7728;ANM;CIUDAD BOLIVAR;0024387501;AAA0020FYZE;8/10/2014;2014;33,396084790200000;33,396084790200000;62,827713104499999
